person1,relation,person2,count
王夫人,共现,贾母,118
贾母,共现,鸳鸯,42
平儿,共现,贾琏,41
王夫人,共现,袭人,38
王夫人,共现,贾政,35
贾政,共现,贾母,35
晴雯,共现,袭人,34
平儿,共现,袭人,30
李纨,共现,王夫人,28
贾政,共现,贾琏,27
李纨,共现,贾母,26
王夫人,共现,贾琏,21
袭人,共现,贾母,21
贾母,共现,贾琏,17
平儿,共现,鸳鸯,16
袭人,共现,鸳鸯,16
平儿,共现,王夫人,14
林黛玉,共现,贾母,14
王夫人,共现,鸳鸯,13
平儿,共现,贾母,12
平儿,共现,李纨,11
林黛玉,共现,王夫人,10
平儿,共现,香菱,9
史湘云,共现,贾母,8
袭人,共现,贾政,7
史湘云,共现,林黛玉,6
晴雯,共现,王夫人,6
贾母,共现,香菱,6
史湘云,共现,李纨,5
史湘云,共现,袭人,5
史湘云,共现,香菱,5
李纨,共现,鸳鸯,5
林黛玉,共现,薛宝钗,5
林黛玉,共现,袭人,5
林黛玉,共现,香菱,5
王夫人,共现,贾母房,5
袭人,共现,香菱,5
贾母,共现,贾母王夫人,5
贾琏,共现,鸳鸯,5
晴雯,共现,贾母,4
李纨,共现,林黛玉,4
王夫人,共现,贾母正,4
贾政,共现,鸳鸯,4
贾母,共现,贾母房,4
贾母,共现,贾母正,4
史湘云,共现,王夫人,3
平儿,共现,晴雯,3
李纨,共现,袭人,3
李纨,共现,香菱,3
王夫人,共现,贾母王夫人,3
贾政,共现,贾母房,3
贾政,共现,贾琏贾,3
贾母王夫人,共现,贾琏,3
史湘云,共现,薛宝琴,2
史湘云,共现,薛宝钗,2
平儿,共现,林黛玉,2
晴雯,共现,林黛玉,2
晴雯,共现,香菱,2
晴雯,共现,鸳鸯,2
李纨,共现,贾母王夫人,2
林黛玉,共现,贾母房,2
王夫人,共现,薛宝钗,2
王夫人,共现,贾政和,2
王夫人,共现,贾母问,2
薛宝钗,共现,袭人,2
薛宝钗,共现,香菱,2
袭人,共现,贾母王夫人,2
袭人,共现,贾琏,2
贾政,共现,贾政回,2
贾政,共现,贾母喜,2
贾政,共现,贾母王夫人,2
贾政回,共现,贾琏,2
贾政带,共现,贾母,2
贾政正,共现,贾母,2
贾政贾,共现,贾琏,2
贾政进,共现,贾母,2
贾政问,共现,贾琏,2
贾母,共现,贾母才,2
贾母,共现,贾母笑,2
贾母房,共现,鸳鸯,2
贾母灵,共现,鸳鸯,2
贾母笑,共现,鸳鸯,2
史湘云,共现,平儿,1
史湘云,共现,贾母房,1
史湘云,共现,贾母正,1
史湘云,共现,贾母王夫人,1
史湘云,共现,贾母笑,1
史湘云,共现,贾母薛,1
史湘云偶,共现,林黛玉,1
妙玉,共现,贾母,1
妙玉恭肃,共现,晴雯,1
妙玉笑,共现,贾母,1
平儿,共现,平儿斟,1
平儿,共现,薛宝钗,1
平儿,共现,袭人拦,1
平儿,共现,贾母房,1
平儿,共现,贾琏复,1
平儿,共现,贾琏气,1
平儿一一,共现,袭人,1
平儿恐,共现,贾母,1
